date,neer,ktb_1y,ktb_10y,kospi,cycle_raw,policy_raw,trade_raw,risk_raw,cycle,policy,trade,risk,cycle_z,policy_z,trade_z,risk_z,n_themes,macro_sign,macro_z
2017-05-08,104.44820278626965,1.466,2.242,2292.76,-0.08589458381981085,0.009000000000000119,0.042274613881898127,-0.17918734259000169,-1.0,1.0,1.0,-1.0,-0.8559256858467627,0.030096709289536092,,-1.0,4,0.0,-0.6086096588524089
2017-05-10,104.7249433301281,1.476,2.299,2270.12,-0.08589458381981085,-0.0129999999999999,0.03865085380412925,-0.1804788470026507,-1.0,-1.0,1.0,-1.0,-0.8541773969152845,-0.04339547700827344,,-1.0,4,-0.5,-0.6325242913078526
2017-05-11,104.5283452185788,1.471,2.306,2296.37,-0.08589458381981085,-0.025000000000000133,0.04738557514274078,-0.19752836604599186,-1.0,-1.0,1.0,-1.0,-0.8524541552271131,-0.0832768282360209,,-1.0,4,-0.5,-0.645243661154378
2017-05-12,104.79801314470193,1.462,2.289,2286.02,-0.08589458381981085,-0.020999999999999908,0.05697369158058141,-0.18413363971386826,-1.0,-1.0,1.0,-1.0,-0.8507554767273108,-0.06981649183091818,,-1.0,4,-0.5,-0.6401906561860763
2017-05-15,104.9662296727484,1.461,2.301,2290.65,-0.08589458381981085,-0.019000000000000128,0.0658703022132121,-0.18856827160355105,-1.0,-1.0,1.0,-1.0,-0.8490808900400173,-0.0630506973845086,,-1.0,4,-0.5,-0.6373771958081753
2017-05-16,104.98202934537832,1.463,2.301,2295.33,-0.08589458381981085,-0.017000000000000126,0.062351781019170716,-0.1920082602683958,-1.0,-1.0,1.0,-1.0,-0.8474299360479662,-0.05631504481503759,,-1.0,4,-0.5,-0.6345816602876679
2017-05-17,105.49609141326395,1.455,2.249,2293.08,-0.08589458381981085,0.0020000000000000018,0.06334649369975587,-0.1918714365492315,-1.0,1.0,1.0,-1.0,-0.8458021674888607,0.00661740649486186,,-1.0,4,0.0,-0.6130615869979996
2017-05-18,105.32014981713628,1.455,2.248,2286.82,-0.08589458381981085,0.010000000000000009,0.06373626397307142,-0.1881101403381396,-1.0,1.0,1.0,-1.0,-0.8441971485678174,0.03305524117746782,,-1.0,4,0.0,-0.6037139691301165
2017-05-19,104.91669815192836,1.453,2.238,2288.48,-0.08589458381981085,0.02400000000000002,0.06776571755125271,-0.18659955575425724,-1.0,1.0,1.0,-1.0,-0.8426144545851286,0.07928476266720177,,-1.0,4,0.0,-0.5877765639726423
2017-05-22,104.50254604735647,1.461,2.272,2304.03,-0.08589458381981085,0.028999999999999915,0.060123397492597874,-0.2010650509614012,-1.0,1.0,1.0,-1.0,-0.8410536715786341,0.0957571052725829,,-1.0,4,0.0,-0.581765522102017
2017-05-23,105.4163266663454,1.461,2.249,2311.74,-0.08589458381981085,0.04699999999999993,0.0722545368301386,-0.20542376208355434,-1.0,1.0,1.0,-1.0,-0.8395143959800312,0.15518019916922995,,-1.0,4,0.0,-0.561444732270267
2017-05-24,105.18640608278862,1.469,2.269,2317.34,-0.08589458381981085,0.02499999999999991,0.07671687758752821,-0.21106618980848516,-1.0,1.0,1.0,-1.0,-0.8379962342844858,0.08249842038327122,,-1.0,4,0.0,-0.5851659379670715
2017-05-25,104.5584289172942,1.468,2.246,2342.93,-0.08589458381981085,0.026000000000000023,0.06899218340065705,-0.21656422035271278,-1.0,1.0,1.0,-1.0,-0.8364988027329431,0.0857556046559681,,-1.0,4,0.0,-0.5835810660256583
2017-05-26,105.32151479659235,1.468,2.237,2355.3,-0.08589458381981085,0.019000000000000128,0.07215101537932966,-0.23277672673424882,-1.0,1.0,1.0,-1.0,-0.8350217270065649,0.06262735392345578,,-1.0,4,0.0,-0.5907981243610364
2017-05-29,105.04843313418586,1.467,2.245,2352.97,-0.08589458381981085,0.030999999999999917,0.07313733205973172,-0.2192737165058421,-1.0,1.0,1.0,-1.0,-0.8335646419327509,0.10214471542898661,,-1.0,4,0.0,-0.5771399755012547
2017-05-30,104.90286189025689,1.462,2.223,2343.68,-0.08589458381981085,0.037000000000000144,0.07024114255351943,-0.21491899650774068,-1.0,1.0,1.0,-1.0,-0.8321271912022329,0.12188760763259317,,-1.0,4,0.0,-0.57007986118988
